flavanoids,alcohol,proline
3.06,14.23,1065.0
2.76,13.2,1050.0
3.24,13.16,1185.0
3.49,14.37,1480.0
2.69,13.24,735.0
3.39,14.2,1450.0
2.52,14.39,1290.0
2.51,14.06,1295.0
2.98,14.83,1045.0
3.15,13.86,1045.0
3.32,14.1,1510.0
2.43,14.12,1280.0
2.76,13.75,1320.0
3.69,14.75,1150.0
3.64,14.38,1547.0
2.91,13.63,1310.0
3.14,14.3,1280.0
3.4,13.83,1130.0
3.93,14.19,1680.0
3.03,13.64,845.0
3.17,14.06,780.0
2.41,12.93,770.0
2.88,13.71,1035.0
2.37,12.85,1015.0
2.61,13.5,845.0
2.68,13.05,830.0
2.94,13.39,1195.0
2.19,13.3,1285.0
2.97,13.87,915.0
2.33,14.02,1035.0
3.25,13.73,1285.0
3.19,13.58,1515.0
2.69,13.68,990.0
2.74,13.76,1235.0
2.53,13.51,1095.0
2.98,13.48,920.0
2.68,13.28,880.0
2.43,13.05,1105.0
2.64,13.07,1020.0
3.04,14.22,760.0
3.29,13.56,795.0
2.68,13.41,1035.0
3.56,13.88,1095.0
2.63,13.24,680.0
3.0,13.05,885.0
2.65,14.21,1080.0
3.17,14.38,1065.0
3.39,13.9,985.0
2.92,14.1,1060.0
3.54,13.94,1260.0
3.27,13.05,1150.0
2.99,13.83,1265.0
3.74,13.82,1190.0
2.79,13.77,1375.0
2.9,13.74,1060.0
2.78,13.56,1120.0
3.0,14.22,970.0
3.23,13.29,1270.0
3.67,13.72,1285.0
0.57,12.37,520.0
1.09,12.33,680.0
1.41,12.64,450.0
1.79,13.67,630.0
3.1,12.37,420.0
1.75,12.17,355.0
2.65,12.37,678.0
3.18,13.11,502.0
2.0,12.37,510.0
1.3,13.34,750.0
1.28,12.21,718.0
1.02,12.29,870.0
2.86,13.86,410.0
1.84,13.49,472.0
2.89,12.99,985.0
2.14,11.96,886.0
1.57,11.66,428.0
2.03,13.03,392.0
1.32,11.84,500.0
1.85,12.33,750.0
2.55,12.7,463.0
2.26,12.0,278.0
2.53,12.72,714.0
1.58,12.08,630.0
1.59,13.05,515.0
2.21,11.84,520.0
1.94,12.67,450.0
1.69,12.16,495.0
1.61,11.65,562.0
1.69,11.64,680.0
1.59,12.08,625.0
1.5,12.08,480.0
1.25,12.0,450.0
1.46,12.69,495.0
2.25,12.29,290.0
2.26,11.62,345.0
2.27,12.47,937.0
0.99,11.81,625.0
2.5,12.29,428.0
3.75,12.37,660.0
2.99,12.29,406.0
2.17,12.08,710.0
1.36,12.6,562.0
2.11,12.34,438.0
1.64,11.82,415.0
1.92,12.51,672.0
1.84,12.42,315.0
2.03,12.25,510.0
1.76,12.72,488.0
2.04,12.22,312.0
2.92,11.61,680.0
2.58,11.46,562.0
2.27,12.52,325.0
2.03,11.76,607.0
2.01,11.41,434.0
2.29,12.08,385.0
2.17,11.03,407.0
1.6,11.82,495.0
2.09,12.42,345.0
1.25,12.77,372.0
1.64,12.0,564.0
2.79,11.45,625.0
5.08,11.56,465.0
2.13,12.42,365.0
2.65,13.05,380.0
3.03,11.87,380.0
2.65,12.07,378.0
3.15,12.43,352.0
2.24,11.79,466.0
2.45,12.37,342.0
1.75,12.04,580.0
1.25,12.86,630.0
1.22,12.88,530.0
1.09,12.81,560.0
1.2,12.7,600.0
0.58,12.51,650.0
0.66,12.6,695.0
0.47,12.25,720.0
0.6,12.53,515.0
0.48,13.49,580.0
0.6,12.84,590.0
0.5,12.93,600.0
0.5,13.36,780.0
0.52,13.52,520.0
0.8,13.62,550.0
0.78,12.25,855.0
0.55,13.16,830.0
0.34,13.88,415.0
0.65,12.87,625.0
0.76,13.32,650.0
1.39,13.08,550.0
1.57,13.5,500.0
1.36,12.79,480.0
1.28,13.11,425.0
0.83,13.23,675.0
0.58,12.58,640.0
0.63,13.17,725.0
0.83,13.84,480.0
0.58,12.45,880.0
1.31,14.34,660.0
1.1,13.48,620.0
0.92,12.36,520.0
0.56,13.69,680.0
0.6,12.85,570.0
0.7,12.96,675.0
0.68,13.78,615.0
0.47,13.73,520.0
0.92,13.45,695.0
0.66,12.82,685.0
0.84,13.58,750.0
0.96,13.4,630.0
0.49,12.2,510.0
0.51,12.77,470.0
0.7,14.16,660.0
0.61,13.71,740.0
0.75,13.4,750.0
0.69,13.27,835.0
0.68,13.17,840.0
0.76,14.13,560.0
